tx_region,n,sum,perc,condition
3'UTR,3006,5880,0.5112244897959184,DMSO
3UTR or other,1682,5880,0.2860544217687075,DMSO
5'UTR,9,5880,0.001530612244897959,DMSO
CDS,60,5880,0.01020408163265306,DMSO
intron,656,5880,0.11156462585034013,DMSO
multiple non-3'UTR,356,5880,0.06054421768707483,DMSO
non-coding,111,5880,0.018877551020408164,DMSO
3'UTR,1806,2851,0.6334619431778323,RMD
3UTR or other,805,2851,0.2823570676955454,RMD
5'UTR,5,2851,0.00175377060680463,RMD
CDS,11,2851,0.003858295334970186,RMD
intron,115,2851,0.04033672395650649,RMD
multiple non-3'UTR,62,2851,0.021746755524377413,RMD
non-coding,47,2851,0.016485443703963522,RMD
