bins,meanCoverage,standardError,feature,condition
1,0.0020488144697108695,4.019904819151164e-4,threeUTRs,DMSO
2,0.0028391413876485395,4.6725240375013416e-4,threeUTRs,DMSO
3,0.004329447518609534,5.966696233702587e-4,threeUTRs,DMSO
4,0.005218778638138542,6.709385680716473e-4,threeUTRs,DMSO
5,0.0052660384684042084,6.61296306323374e-4,threeUTRs,DMSO
6,0.004483012884833293,6.205476290657156e-4,threeUTRs,DMSO
7,0.0043311694099043944,6.255779125499241e-4,threeUTRs,DMSO
8,0.004171845746071241,6.006755616062724e-4,threeUTRs,DMSO
9,0.004301176636724677,6.093548476687762e-4,threeUTRs,DMSO
10,0.004544819679303795,6.352528251687007e-4,threeUTRs,DMSO
11,0.005223002592841774,6.770305578340018e-4,threeUTRs,DMSO
12,0.005560665482315296,6.903463422990661e-4,threeUTRs,DMSO
13,0.005790871209840524,7.103368361355347e-4,threeUTRs,DMSO
14,0.005376127411270256,6.753518441154127e-4,threeUTRs,DMSO
15,0.005953821593482204,7.181831807717395e-4,threeUTRs,DMSO
16,0.00618535514874253,7.252313116149307e-4,threeUTRs,DMSO
17,0.006622389644825021,7.654588185303903e-4,threeUTRs,DMSO
18,0.007310096341818268,8.025603781949842e-4,threeUTRs,DMSO
19,0.0069688458372383294,7.806544200842905e-4,threeUTRs,DMSO
20,0.0058070252371271655,7.236783523907136e-4,threeUTRs,DMSO
21,0.006892090592302615,7.729707690308309e-4,threeUTRs,DMSO
22,0.007192053794143736,8.013966101036175e-4,threeUTRs,DMSO
23,0.006418738534697028,7.530966713132637e-4,threeUTRs,DMSO
24,0.005774164039628984,7.234611475590892e-4,threeUTRs,DMSO
25,0.006041506466969714,7.274353477742364e-4,threeUTRs,DMSO
26,0.005693117334446119,6.996141359332796e-4,threeUTRs,DMSO
27,0.0052385098548123,6.680557001330421e-4,threeUTRs,DMSO
28,0.005519450965209586,6.904575426988335e-4,threeUTRs,DMSO
29,0.0062136577002418515,7.401084403108643e-4,threeUTRs,DMSO
30,0.006059891356418503,7.254336410854853e-4,threeUTRs,DMSO
31,0.005962397447779733,7.155004297122564e-4,threeUTRs,DMSO
32,0.006678973299772691,7.748004535704673e-4,threeUTRs,DMSO
33,0.007453279974299202,8.358267367008916e-4,threeUTRs,DMSO
34,0.007867530633763359,8.561593894535364e-4,threeUTRs,DMSO
35,0.007992852379592848,8.592635254452327e-4,threeUTRs,DMSO
36,0.007049480388160467,7.915255363652384e-4,threeUTRs,DMSO
37,0.006509773892528389,7.573873702170002e-4,threeUTRs,DMSO
38,0.006658269969400926,7.671935522973094e-4,threeUTRs,DMSO
39,0.007325683308923945,8.107902519324221e-4,threeUTRs,DMSO
40,0.006629343970060436,7.73819105996863e-4,threeUTRs,DMSO
41,0.007069411390786744,7.907179014010609e-4,threeUTRs,DMSO
42,0.008008448241277855,8.517139225328572e-4,threeUTRs,DMSO
43,0.008231922821984889,8.74377840933646e-4,threeUTRs,DMSO
44,0.0077592084928574225,8.490648504108314e-4,threeUTRs,DMSO
45,0.007267386503222945,8.186763866174241e-4,threeUTRs,DMSO
46,0.007844921322483829,8.498756385217694e-4,threeUTRs,DMSO
47,0.007386589197394249,8.424619454718282e-4,threeUTRs,DMSO
48,0.007319270763626138,8.268459001194555e-4,threeUTRs,DMSO
49,0.008263249906379824,8.918809395693897e-4,threeUTRs,DMSO
50,0.008257392566622673,8.790673538043571e-4,threeUTRs,DMSO
51,0.008194851747203746,8.656426318930617e-4,threeUTRs,DMSO
52,0.007665492158206187,8.333535917686253e-4,threeUTRs,DMSO
53,0.008653996282915003,8.976812667934345e-4,threeUTRs,DMSO
54,0.008625103662692611,8.869010981350498e-4,threeUTRs,DMSO
55,0.007816264505803642,8.524840327234052e-4,threeUTRs,DMSO
56,0.007794741030257773,8.427898941601144e-4,threeUTRs,DMSO
57,0.008153885016670798,8.690189806897068e-4,threeUTRs,DMSO
58,0.008650768196164732,8.84679745093256e-4,threeUTRs,DMSO
59,0.00837064647824337,8.806812318947123e-4,threeUTRs,DMSO
60,0.008069490713637302,8.709692150725191e-4,threeUTRs,DMSO
61,0.008129682560894736,8.782464098180909e-4,threeUTRs,DMSO
62,0.007869179669568184,8.673005090187805e-4,threeUTRs,DMSO
63,0.007969833945556571,8.691106007076329e-4,threeUTRs,DMSO
64,0.008177921482747,8.839672761891409e-4,threeUTRs,DMSO
65,0.00866654073627412,8.920619415436457e-4,threeUTRs,DMSO
66,0.009734700131078255,9.564007455678249e-4,threeUTRs,DMSO
67,0.010466072105692783,9.9240224535193e-4,threeUTRs,DMSO
68,0.011462303675226422,0.0010309759818968483,threeUTRs,DMSO
69,0.011166624945793237,0.0010279263553140178,threeUTRs,DMSO
70,0.011879908236517238,0.0010543554127109686,threeUTRs,DMSO
71,0.01179277648757631,0.0010532469047731749,threeUTRs,DMSO
72,0.0121451561497674,0.001064975507152709,threeUTRs,DMSO
73,0.012719702200803535,0.0010913022546448325,threeUTRs,DMSO
74,0.013570304036446226,0.0011285435322304566,threeUTRs,DMSO
75,0.013533571495949807,0.001124575698038647,threeUTRs,DMSO
76,0.013540168501597945,0.0011272756554461232,threeUTRs,DMSO
77,0.014428810729078118,0.0011659135170871717,threeUTRs,DMSO
78,0.014381033512166857,0.0011676090213379692,threeUTRs,DMSO
79,0.013976542265281448,0.001149331054267557,threeUTRs,DMSO
80,0.014729675422248205,0.0011768294706461895,threeUTRs,DMSO
81,0.016064775494406585,0.00122197329435098,threeUTRs,DMSO
82,0.016086178425810466,0.0012253613500436517,threeUTRs,DMSO
83,0.01733444648742828,0.0012731701686032769,threeUTRs,DMSO
84,0.017433054153777168,0.0012813798750787968,threeUTRs,DMSO
85,0.018475363634862015,0.001300501610031958,threeUTRs,DMSO
86,0.020110554483159515,0.001379245339837116,threeUTRs,DMSO
87,0.021643699680179238,0.0014311331438797196,threeUTRs,DMSO
88,0.022419949650020504,0.0014523864566195553,threeUTRs,DMSO
89,0.02327999017235787,0.0014866679875799257,threeUTRs,DMSO
90,0.02400527390149182,0.0015022998733944107,threeUTRs,DMSO
91,0.025888248530464886,0.001562101964411033,threeUTRs,DMSO
92,0.027606892876042673,0.0016081249153046188,threeUTRs,DMSO
93,0.029598019861137883,0.0016637972990492108,threeUTRs,DMSO
94,0.03155355386249587,0.0016931044736490136,threeUTRs,DMSO
95,0.0328692186819947,0.001730222906976328,threeUTRs,DMSO
96,0.03610700135658936,0.0017998297917445577,threeUTRs,DMSO
97,0.040714157105180275,0.0019068598507143717,threeUTRs,DMSO
98,0.04455894680901659,0.0019753413635358106,threeUTRs,DMSO
99,0.04757761707429323,0.002048838566876079,threeUTRs,DMSO
100,0.03876391340007735,0.0017445429144073018,threeUTRs,DMSO
1,3.5866799683934177e-4,1.5840913327536287e-4,threeUTRs,RMD
2,0.0015292926042835308,3.5171443066428867e-4,threeUTRs,RMD
3,0.0011027313911788391,2.788082376463521e-4,threeUTRs,RMD
4,0.0013114896248361209,2.795578685141988e-4,threeUTRs,RMD
5,0.0015712911977877574,3.572536567514589e-4,threeUTRs,RMD
6,0.0015176627680769067,3.383462969763181e-4,threeUTRs,RMD
7,0.0013840833631634647,3.2984571705968626e-4,threeUTRs,RMD
8,0.0013660243867766888,3.1908833610736734e-4,threeUTRs,RMD
9,0.001243893997025212,2.9281169770151985e-4,threeUTRs,RMD
10,0.0016655011845482601,3.6537760410338327e-4,threeUTRs,RMD
11,0.0016573063907757955,3.5507822038521804e-4,threeUTRs,RMD
12,0.001743954576804826,3.771670926032142e-4,threeUTRs,RMD
13,0.0016503227991750441,3.7676307887091984e-4,threeUTRs,RMD
14,0.0020918140781913275,4.0607868922447614e-4,threeUTRs,RMD
15,0.0018298880522579703,3.8842871584833006e-4,threeUTRs,RMD
16,0.001783278869144294,3.60670876990987e-4,threeUTRs,RMD
17,0.0023104575596288248,4.412621425419818e-4,threeUTRs,RMD
18,0.0028448459122605123,4.995248438448483e-4,threeUTRs,RMD
19,0.0036444840111346985,5.522206504898433e-4,threeUTRs,RMD
20,0.0033970503579211038,5.424699832636413e-4,threeUTRs,RMD
21,0.0032614818951607143,5.326823875928504e-4,threeUTRs,RMD
22,0.0033774849122538723,5.358640665889737e-4,threeUTRs,RMD
23,0.003383138644728735,5.307024251858414e-4,threeUTRs,RMD
24,0.003832290415685107,5.769426692079801e-4,threeUTRs,RMD
25,0.00417262454346876,6.060445573197529e-4,threeUTRs,RMD
26,0.004373924991594111,6.225727227625398e-4,threeUTRs,RMD
27,0.004272219977887566,6.175069167043e-4,threeUTRs,RMD
28,0.0037962443737203262,5.830870659656899e-4,threeUTRs,RMD
29,0.0033272316538485685,5.334568409230958e-4,threeUTRs,RMD
30,0.003283061402318235,5.441473642025371e-4,threeUTRs,RMD
31,0.0035863741221635213,5.595901390135117e-4,threeUTRs,RMD
32,0.003330215076905239,5.408857801771699e-4,threeUTRs,RMD
33,0.002957945139921245,5.169027090325289e-4,threeUTRs,RMD
34,0.003068170872477658,5.183296129076508e-4,threeUTRs,RMD
35,0.003205661166890536,5.326262063638136e-4,threeUTRs,RMD
36,0.0035334938657898994,5.735156326113774e-4,threeUTRs,RMD
37,0.004052987444291855,6.115213189051193e-4,threeUTRs,RMD
38,0.003833158145186401,5.975041183463591e-4,threeUTRs,RMD
39,0.0035163278133998363,5.692526826294068e-4,threeUTRs,RMD
40,0.00351585385036883,5.750173971414398e-4,threeUTRs,RMD
41,0.003796551012774794,5.900829088966911e-4,threeUTRs,RMD
