Distance,RBP,MedianDistanceToPABP
368,ACIN1,122
236,ACIN1,122
171,ACIN1,122
205,ACIN1,122
317,ACIN1,122
199,ACIN1,122
239,ACIN1,122
374,ACIN1,122
29,ACIN1,122
165,ACIN1,122
54,ACIN1,122
120,ACIN1,122
396,ACIN1,122
302,ACIN1,122
62,ACIN1,122
429,ACIN1,122
120,ACIN1,122
215,ACIN1,122
243,ACIN1,122
435,ACIN1,122
205,ACIN1,122
451,ACIN1,122
332,ACIN1,122
16,ACIN1,122
275,ACIN1,122
329,ACIN1,122
215,ACIN1,122
125,ACIN1,122
29,ACIN1,122
295,ACIN1,122
215,ACIN1,122
96,ACIN1,122
54,ACIN1,122
44,ACIN1,122
261,ACIN1,122
200,ACIN1,122
44,ACIN1,122
316,ACIN1,122
34,ACIN1,122
97,ACIN1,122
75,ACIN1,122
14,ACIN1,122
394,ACIN1,122
170,ACIN1,122
101,ACIN1,122
201,ACIN1,122
133,ACIN1,122
15,ACIN1,122
80,ACIN1,122
18,ACIN1,122
288,ACIN1,122
17,ACIN1,122
48,ACIN1,122
2,ACIN1,122
365,ACIN1,122
82,ACIN1,122
14,ACIN1,122
85,ACIN1,122
60,ACIN1,122
273,ACIN1,122
223,ACIN1,122
107,ACIN1,122
17,ACIN1,122
227,ACIN1,122
390,ACIN1,122
35,ACIN1,122
64,ACIN1,122
155,ACIN1,122
181,ACIN1,122
1,ACIN1,122
157,ACIN1,122
132,ACIN1,122
271,ACIN1,122
393,ACIN1,122
15,ACIN1,122
0,ACIN1,122
1,ACIN1,122
1,ACIN1,122
4,ACIN1,122
414,ACIN1,122
341,ACIN1,122
96,ACIN1,122
7,ACIN1,122
182,ACIN1,122
10,ACIN1,122
479,ACIN1,122
238,ACIN1,122
117,ACIN1,122
325,ACIN1,122
7,ACIN1,122
331,ACIN1,122
223,ACIN1,122
98,ACIN1,122
346,ACIN1,122
30,ACIN1,122
0,ACIN1,122
169,ACIN1,122
156,ACIN1,122
200,ACIN1,122
25,ACIN1,122
35,ACIN1,122
194,ACIN1,122
11,ACIN1,122
374,ACIN1,122
259,ACIN1,122
119,ACIN1,122
48,ACIN1,122
111,ACIN1,122
227,ACIN1,122
303,ACIN1,122
180,ACIN1,122
122,ACIN1,122
160,ACIN1,122
16,ACIN1,122
3,ACIN1,122
73,ACIN1,122
253,ACIN1,122
175,ACIN1,122
396,ACIN1,122
1,ACIN1,122
343,ACIN1,122
186,ACIN1,122
234,ACIN1,122
423,ACIN1,122
269,ACIN1,122
189,ACIN1,122
20,ACIN1,122
422,ACIN1,122
256,ACIN1,122
24,ACIN1,122
10,ACIN1,122
21,ACIN1,122
5,ACIN1,122
422,ACIN1,122
262,ACIN1,122
