X,target_group,ARE,IEG,variable,value
ACTL8,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,23.4368242982827
KDM1A,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,24.8939755428979
UHMK1,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,31.9458891239959
ASPM,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.79336118776446
URB2,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.66061992389586
AL669831.5,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.65477838885537
CDK11A,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.73999272964957
AL031282.2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.68830315220707
MTHFR,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.72170237862495
KAZN,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.56621348326161
CRYBG2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.3286349728405
TRNP1,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.33489312797825
PUM1,1000-4999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.96188380209907
RLF,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.47941354006854
MED8,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.05706767323745
PTCH2,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.04605298866347
MAST2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.1119922110005
ZYG11B,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,13.7212956129974
ALG14,1-9,ARE,non-IEG,condHeLa_DMSO_rep1_hl,21.2787877815468
CTTNBP2NL,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.07885469648472
WDR3,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,16.6085810538183
AL359915.2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.7672971617198
FAM72D,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,18.4398752686466
RPRD2,100-999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.5097283085375
CGN,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.3979856988203
RUSC1-AS1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.32860382952925
POGK,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.68983816083458
VAMP4,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,53.7281353120536
RC3H1,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.083038282387
CEP350,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.69179241950209
SWT1,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,21.158437529652
TROVE2,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,38.1641544190332
ZNF281,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.35418404396401
ZBED6,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.39707751791146
PLXNA2,1000-4999,ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.29917247885476
PARP1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,26.7790856314244
PSEN2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,13.6248998275428
HIST3H2BB,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,1.62566521670557
ZBTB18,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.31572551610459
LINC01128,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.9306119399277
AL645608.3,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.32405848329775
SAMD11,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.56410631153203
KLHL17,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.80307815230915
PLEKHN1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,15.5193088684779
AL645608.8,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.1404031853033
AGRN,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.3724021583355
C1orf159,0,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.74797339934522
SDF4,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.807714785128
B3GALT6,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.92759717098216
UBE2J2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.08174046576426
ACAP3,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.7276742341862
PUSL1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.6074147174971
INTS11,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.9622234153108
CPTP,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.24759887525207
AURKAIP1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,20.8936166348958
CCNL2,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.50265072860402
AL391244.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.50827954981848
MRPL20,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,14.1765108558818
AL391244.3,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,1.5570723944501
ATAD3B,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.2947926273754
SSU72,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,14.7835138508253
AL645728.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.92100143693253
AL691432.2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.271676718087
MIB2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.1404463532254
CDK11B,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.32901972929485
SLC35E2B,0,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.26976882156147
NADK,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.6557334379588
AL109917.1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.50083108421693
TMEM52,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.7655217214347
PRKCZ,0,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.6476544081982
PRKCZ-AS1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.10134742598192
SKI,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.67613002066852
MORN1,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.1095527234192
AL513477.2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,6.3286349728405
RER1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.1545489298383
PLCH2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.6430189587222
PANK4,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.43200594724347
FAM213B,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.92621881347233
ARHGEF16,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.83349758265238
TPRG1L,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,16.6734894288761
WRAP73,1-9,ARE,non-IEG,condHeLa_DMSO_rep1_hl,15.7866301044283
TP73,0,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.44957026463932
SMIM1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.26885152400438
LRRC47,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.68875501047262
CEP104,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,20.3905952853549
DFFB,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.33623567031656
C1orf174,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.37492668530554
LINC01134,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.92419312796902
NPHP4,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.2885801653931
KCNAB2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.1608117227457
ICMT,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,16.5359662848476
GPR153,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.541201732032
HES2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.50188876655361
TNFRSF25,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.87201771128449
PLEKHG5,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.81326215709678
NOL9,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,14.7005759896979
ZBTB48,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.80663086710347
KLHL21,100-999,non-ARE,IEG,condHeLa_DMSO_rep1_hl,2.4261492175607
PHF13,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,1.59729314338054
THAP3,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.29966769715222
DNAJC11,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,15.3558411130193
Z98884.2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.33481098012551
PER3,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,24.0431450493726
TNFRSF9,1-9,ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.50981756371492
Y_RNA,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.99968375784162
AL034417.4,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.67384787943354
ERRFI1,100-999,non-ARE,IEG,condHeLa_DMSO_rep1_hl,10.5102396197177
RERE,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.01225813619175
GPR157,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.02668969252117
MIR34AHG,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.46122844262304
H6PD,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,8.52470697074919
SPSB1,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,1.79440411847358
AL928921.2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.07907323269113
SLC25A33,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,15.3932581798006
TMEM201,100-999,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.77006232039499
PIK3CD,nontarget,ARE,non-IEG,condHeLa_DMSO_rep1_hl,11.2220738055361
CLSTN1,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,15.3359010427824
LZIC,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.7642068983979
NMNAT1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.75392761036556
UBE4B,10-99,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,14.8580211628789
KIF1B,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,10.9424090654505
AL139424.2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.73251312509672
CENPS,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,9.44563664283059
DFFA,1-9,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,14.999050207286
PEX14,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.47941892465824
CASZ1,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.10104344463106
TARDBP,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.1643862604985
UBIAD1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,4.25605382571837
FBXO44,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,7.13080754156552
AGTRAP,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,16.2087382492633
CLCN6,1-9,ARE,non-IEG,condHeLa_DMSO_rep1_hl,5.97908524578112
NPPA-AS1,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,3.5385126661777
KIAA2013,10-99,ARE,non-IEG,condHeLa_DMSO_rep1_hl,12.5584697189641
MFN2,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,21.6402837971624
TNFRSF8,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,2.26287577772179
VPS13D,nontarget,non-ARE,non-IEG,condHeLa_DMSO_rep1_hl,17.7909788979553
