X,condHeLa_S140_DMSO_rep1_hl,condHeLa_S140_RMD_rep1_hl,condC81_S181_DMSO_rep1_hl,condC81_S181_RMD_rep1_hl,condHeLa_S181_DMSO_rep1_hl,condHeLa_S181_RMD_rep1_hl,condHeLa_DMSO_rep1_hl,condHeLa_RMD_rep1_hl,condHeLa_C2_DMSO_rep1_hl,condHeLa_C2_RMD_rep1_hl,condHeLa_S140_DMSO_rep1_R2,condHeLa_S140_RMD_rep1_R2,condC81_S181_DMSO_rep1_R2,condC81_S181_RMD_rep1_R2,condHeLa_S181_DMSO_rep1_R2,condHeLa_S181_RMD_rep1_R2,condHeLa_DMSO_rep1_R2,condHeLa_RMD_rep1_R2,condHeLa_C2_DMSO_rep1_R2,condHeLa_C2_RMD_rep1_R2,DEs,target_group,ARE,IEG,mean_siCPEB4_DMSO,mean_siCPEB4_RMD,mean_Ctrl_DMSO,mean_Ctrl_RMD,meanlogFC_DMSO,meanlogFC_RMD,mean_siCPEB4_DMSO_log2,mean_siCPEB4_RMD_log2,mean_Ctrl_DMSO_log2,mean_Ctrl_RMD_log2,stabilized_DMSO,stabilized_RMD
ASPM,6.28667468703414,3.18203750661269,8.69862590546705,3.16922115977723,10.6044911427381,3.68815654618922,7.79336118776446,3.04850897478491,17.7379884727256,5.27160171864634,0.869675638780983,0.973481421114529,0.997358751317982,0.970395671115076,0.946758891249694,0.99189926336667,0.925785500615787,0.883907658622658,0.591339718602196,0.614367561422691,NA,nontarget,non-ARE,non-IEG,8.44558291488612,3.435097026400955,12.76567483024503,4.160055346715625,-0.5960008982491618,-0.2762518731571608,3.0781970014035633,1.7803508494161764,3.674197899652725,2.0566027225733374,non-IEG,non-IEG
URB2,4.67552131942968,2.96525560148805,5.20765329377764,2.98276193775404,6.27087226533276,3.24476682315807,5.66061992389586,2.35558394046732,5.19604469856567,3.68566886257925,0.962772501945126,0.975998317489079,0.993652885060408,0.992216276398614,0.993867751578917,0.98120648366771,0.970614421912538,0.956500844576921,0.937060968803934,0.97604240693025,14,10-99,non-ARE,non-IEG,5.47319679238122,3.1050112123230598,5.428332311230765,3.020626401523285,0.011874688270126605,0.03975071904519789,2.4523837305246263,1.63459847808623,2.4405090422545,1.5948477590410322,non-IEG,non-IEG
MTHFR,6.81557214887953,2.79322585974198,6.04617747153408,2.98807583488517,5.88116231786925,3.11547907312547,3.72170237862495,2.39785515140602,5.9919810769977,4.5992847892804,0.912488661351276,0.98367328294717,0.941563974913558,0.993919407516192,0.994473075677426,0.987966787082535,0.995521759477899,0.99790832587417,0.981031998015065,0.990313039389553,NA,nontarget,non-ARE,non-IEG,6.34836723337439,2.9543524664337246,4.856841727811325,3.49856997034321,0.3863671126800872,-0.24392338956727092,2.6663855860250125,1.5628419558392088,2.2800184733449256,1.8067653454064796,non-IEG,non-IEG
KAZN,8.3361261060804,3.82986099467117,10.448954782761,4.44339612089771,12.0653076674095,3.49277959414471,6.56621348326161,2.36451357935655,26.0714556659907,3.9561289663133,0.698735092949605,0.931383805475399,0.802963084027553,0.979541093131665,0.684636371494733,0.943418251086831,0.888578674734773,0.990802001246978,0.699161702530063,0.899882488948601,21,10-99,non-ARE,non-IEG,10.20071688674495,3.6613202944079397,16.318834574626155,3.160321272834925,-0.6778674839351126,0.21229275919757715,3.350598640477119,1.8723639869561828,4.0284661244122315,1.6600712277586054,non-IEG,non-IEG
PUM1,6.1018726506815,3.05615625431689,6.55184324863033,3.23303752098163,6.34499935294754,3.20043225455737,5.96188380209907,2.25132429839243,8.54606884670109,3.60877634501863,0.95036556594706,0.974916328995774,0.992881694136487,0.991538519369816,0.936201631884923,0.996280588223405,0.886326685217207,0.932557637237476,0.844824148157996,0.884488152944558,3117,1000-4999,non-ARE,non-IEG,6.22343600181452,3.12829425443713,7.25397632440008,2.9300503217055303,-0.22106071446070644,0.09445077998061413,2.6377113221727777,1.6453762221884085,2.8587720366334843,1.5509254422077945,non-IEG,non-IEG
RLF,3.22095122359925,2.73570010785131,3.83399212059019,2.57871229578346,4.37295525764674,3.14517183364663,3.47941354006854,1.74140545182359,3.83690040960341,3.37507178747671,0.923369638124898,0.975888250583787,0.916803223303385,0.9992716707544,0.944541520820748,0.92217653892063,0.998084089424055,0.978410640279833,0.950625153426351,0.93432283877947,10,10-99,non-ARE,non-IEG,3.7969532406229947,2.94043597074897,3.658156974835975,2.55823861965015,0.05372524854725654,0.2008792376966924,1.9248422323157852,1.5560300755402547,1.8711169837685286,1.3551508378435626,non-IEG,non-IEG
MED8,8.69817054003016,3.54619167535745,6.9560366570224,4.15956929950554,9.22452043183183,4.27656185763083,7.05706767323745,2.23970025191908,19.784414604262,6.21766787996493,0.984475020935821,0.969397925298777,0.979893498684125,0.986656269100868,0.970504121818757,0.988506039275418,0.891110519416555,0.924151077116871,0.530752017608668,0.920931464792095,NA,nontarget,ARE,non-IEG,8.961345485930995,3.91137676649414,13.420741138749726,4.228684065942005,-0.582677079596804,-0.11253226603395372,3.163715359531699,1.9676765115176604,3.7463924391285026,2.080208777551614,non-IEG,non-IEG
ALG14,4.98720364418425,2.64723659446079,12.9404520250002,3.52390535856573,9.95626561103938,3.42695420554176,21.2787877815468,2.9950775335582702,5.58956143893809,3.0224073078342,0.93203623113184,0.989887022626968,0.980489383202778,0.961415692032919,0.827004784720311,0.948728822540406,0.54404250278842,0.83183606511959,0.826701204124942,0.984557631629397,3,1-9,ARE,non-IEG,7.471734627611815,3.0370954000012746,13.434174610242446,3.008742420696235,-0.8463925644233752,0.013531624144486464,2.901443215991475,1.6026922265649972,3.74783578041485,1.5891606024205107,non-IEG,non-IEG
CTTNBP2NL,4.45388605784518,2.73784203824296,5.17518238763537,2.8770827830583,6.86631964170122,3.25741984077534,6.07885469648472,2.19385316806755,4.10080008173488,3.02038323108402,0.947939185174219,0.979827372342843,0.92724779772872,0.996771913346049,0.957292845880331,0.98943265849109,0.995861054941353,0.925225429789379,0.989785813590862,0.899242163129907,75,10-99,ARE,non-IEG,5.6601028497731996,2.99763093950915,5.0898273891098,2.607118199575785,0.15321153738381926,0.20136678118877285,2.5008282685182226,1.5838227733741612,2.347616731134403,1.3824559921853883,non-IEG,non-IEG
WDR3,8.00710161880883,3.40303581068457,13.502847852551,3.68490355893397,19.3479577553635,4.82587408045971,16.6085810538183,2.64271135355466,15.028676537524,4.98226705991597,0.871551009816105,0.971907677063502,0.908554165486626,0.967291031070702,0.954147038394528,0.970244719495037,0.777452004245386,0.911916257234239,0.6589611880893,0.820942043965231,NA,nontarget,ARE,non-IEG,13.677529687086164,4.11445494557214,15.818628795671149,3.8124892067353153,-0.20981686117263587,0.10996807182300099,3.773735781981681,2.0407013250812374,3.983552643154317,1.9307332532582366,non-IEG,non-IEG
AL359915.2,9.93483216328206,4.50559984343664,6.23585670608481,5.08631584024788,5.73037218514839,4.69548047480602,5.7672971617198,5.64181042452,9.70240942153968,9.08876160604069,0.612688547477366,0.978494176203917,0.969227215124354,0.968413241677226,0.964455538864858,0.926621338004276,0.980945571691324,0.962587187280451,0.699012522807889,0.946832344715162,NA,nontarget,non-ARE,non-IEG,7.832602174215225,4.60054015912133,7.73485329162974,7.365286015280345,0.01811775621836479,-0.6789382893731284,2.969491684292744,2.201803260981629,2.9513739280743794,2.8807415503547578,non-IEG,non-IEG
RPRD2,4.63539417980258,2.648760580928,5.16542981491753,2.82163593720745,5.94368830469285,3.01496263474226,4.5097283085375,2.07983505654189,6.08831607448773,3.70053889226692,0.969738533693749,0.982475088754361,0.985225235989881,0.994155629528332,0.983640648980221,0.990056171448652,0.986556148523882,0.939786096847585,0.95842195980187,0.881749575336965,187,100-999,ARE,non-IEG,5.289541242247715,2.8318616078351297,5.2990221915126146,2.890186974404405,-0.002583565226455308,-0.029412064683408165,2.4031426039585604,1.5017507631015319,2.4057261691850154,1.5311628277849398,non-IEG,non-IEG
RUSC1-AS1,7.1505084964034,3.90981066867215,6.18508459281207,3.57731938491349,6.96581761821126,2.65396749076589,3.32860382952925,4.95923936974326,5.0822715828648,6.24268653532132,0.540647429570549,0.948537311023977,0.683592196080936,0.954607242328137,0.963944860627622,0.950065630386638,0.928398489929393,0.799957599589896,0.623326147314423,0.573415118322169,NA,nontarget,non-ARE,non-IEG,7.05816305730733,3.28188907971902,4.205437706197025,5.60096295253229,0.7470367941168669,-0.7711484057257999,2.8192927595666837,1.7145264799108892,2.0722559654498167,2.4856748856366893,non-IEG,non-IEG
