target_group,tx_region,n,sum,perc,condition
0,3'UTR,480,15546,0.030876109610189117,DMSO
0,3UTR or other,294,15546,0.018911617136240833,DMSO
0,5'UTR,44,15546,0.002830310047600669,DMSO
0,CDS,100,15546,0.006432522835456066,DMSO
0,intron,11597,15546,0.74597967322784,DMSO
0,multiple non-3'UTR,2883,15546,0.18544963334619838,DMSO
0,non-coding,148,15546,0.009520133796474978,DMSO
1-10,3'UTR,2101,16390,0.12818791946308725,DMSO
1-10,3UTR or other,1344,16390,0.08200122025625381,DMSO
1-10,5'UTR,32,16390,0.0019524100061012813,DMSO
1-10,CDS,76,16390,0.004636973764490543,DMSO
1-10,intron,9942,16390,0.6065893837705918,DMSO
1-10,multiple non-3'UTR,2592,16390,0.15814521049420377,DMSO
1-10,non-coding,303,16390,0.018486882245271508,DMSO
10-100,3'UTR,2321,4683,0.4956224642323297,DMSO
10-100,3UTR or other,1269,4683,0.2709801409352979,DMSO
10-100,5'UTR,7,4683,0.0014947683109118087,DMSO
10-100,CDS,50,4683,0.010676916506512918,DMSO
10-100,intron,624,4683,0.13324791800128122,DMSO
10-100,multiple non-3'UTR,318,4683,0.06790518898142217,DMSO
10-100,non-coding,94,4683,0.02007260303224429,DMSO
100-1000,3'UTR,621,1083,0.5734072022160664,DMSO
100-1000,3UTR or other,367,1083,0.33887349953831947,DMSO
100-1000,5'UTR,1,1083,9.233610341643582e-4,DMSO
100-1000,CDS,9,1083,0.008310249307479225,DMSO
100-1000,intron,31,1083,0.028624192059095107,DMSO
100-1000,multiple non-3'UTR,38,1083,0.03508771929824561,DMSO
100-1000,non-coding,16,1083,0.014773776546629732,DMSO
1000-5000,3'UTR,58,103,0.5631067961165048,DMSO
1000-5000,3UTR or other,42,103,0.4077669902912621,DMSO
1000-5000,CDS,1,103,0.009708737864077669,DMSO
1000-5000,intron,1,103,0.009708737864077669,DMSO
1000-5000,non-coding,1,103,0.009708737864077669,DMSO
5000-more,3'UTR,6,11,0.5454545454545454,DMSO
5000-more,3UTR or other,4,11,0.36363636363636365,DMSO
5000-more,5'UTR,1,11,0.09090909090909091,DMSO
0,3'UTR,444,6242,0.07113104774110862,RMD
0,3UTR or other,251,6242,0.04021147068247356,RMD
0,5'UTR,10,6242,0.0016020506247997437,RMD
0,CDS,47,6242,0.007529637936558795,RMD
0,intron,4284,6242,0.6863184876642102,RMD
0,multiple non-3'UTR,1159,6242,0.1856776674142903,RMD
0,non-coding,47,6242,0.007529637936558795,RMD
1-10,3'UTR,1857,6138,0.30254154447702836,RMD
1-10,3UTR or other,858,6138,0.13978494623655913,RMD
1-10,5'UTR,5,6138,8.145975887911372e-4,RMD
1-10,CDS,33,6138,0.005376344086021506,RMD
1-10,intron,2529,6138,0.4120234604105572,RMD
1-10,multiple non-3'UTR,751,6138,0.1223525578364288,RMD
1-10,non-coding,105,6138,0.01710654936461388,RMD
10-100,3'UTR,1516,2410,0.629045643153527,RMD
10-100,3UTR or other,668,2410,0.27717842323651454,RMD
10-100,5'UTR,3,2410,0.0012448132780082987,RMD
10-100,CDS,10,2410,0.004149377593360996,RMD
10-100,intron,110,2410,0.04564315352697095,RMD
10-100,multiple non-3'UTR,58,2410,0.024066390041493777,RMD
10-100,non-coding,45,2410,0.01867219917012448,RMD
100-1000,3'UTR,267,408,0.6544117647058824,RMD
100-1000,3UTR or other,129,408,0.3161764705882353,RMD
100-1000,5'UTR,1,408,0.0024509803921568627,RMD
100-1000,CDS,1,408,0.0024509803921568627,RMD
100-1000,intron,4,408,0.00980392156862745,RMD
100-1000,multiple non-3'UTR,4,408,0.00980392156862745,RMD
100-1000,non-coding,2,408,0.004901960784313725,RMD
1000-5000,3'UTR,20,29,0.6896551724137931,RMD
1000-5000,3UTR or other,7,29,0.2413793103448276,RMD
1000-5000,5'UTR,1,29,0.034482758620689655,RMD
1000-5000,intron,1,29,0.034482758620689655,RMD
5000-more,3'UTR,3,4,0.75,RMD
5000-more,3UTR or other,1,4,0.25,RMD
