X,IEG,variable,value,condition,siCPEB4,mygroup
ASPM,non-IEG,mean_siCPEB4_DMSO,8.44558291488612,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
URB2,non-IEG,mean_siCPEB4_DMSO,5.47319679238122,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
MTHFR,non-IEG,mean_siCPEB4_DMSO,6.34836723337439,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
KAZN,non-IEG,mean_siCPEB4_DMSO,10.20071688674495,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
PUM1,non-IEG,mean_siCPEB4_DMSO,6.22343600181452,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
RLF,non-IEG,mean_siCPEB4_DMSO,3.7969532406229947,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
MED8,non-IEG,mean_siCPEB4_DMSO,8.961345485930995,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
ALG14,non-IEG,mean_siCPEB4_DMSO,7.471734627611815,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
CTTNBP2NL,non-IEG,mean_siCPEB4_DMSO,5.6601028497731996,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
WDR3,non-IEG,mean_siCPEB4_DMSO,13.677529687086164,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
AL359915.2,non-IEG,mean_siCPEB4_DMSO,7.832602174215225,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
RPRD2,non-IEG,mean_siCPEB4_DMSO,5.289541242247715,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
RUSC1-AS1,non-IEG,mean_siCPEB4_DMSO,7.05816305730733,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
POGK,non-IEG,mean_siCPEB4_DMSO,5.62149057549134,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
RC3H1,non-IEG,mean_siCPEB4_DMSO,12.72968609905516,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
CEP350,non-IEG,mean_siCPEB4_DMSO,6.902482519085936,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
ZNF281,non-IEG,mean_siCPEB4_DMSO,3.443674822691035,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
ZBED6,non-IEG,mean_siCPEB4_DMSO,11.8910284295471,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
HIST3H2BB,non-IEG,mean_siCPEB4_DMSO,2.7294778101823747,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
LINC01128,non-IEG,mean_siCPEB4_DMSO,9.237990921214875,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
SAMD11,non-IEG,mean_siCPEB4_DMSO,9.603794009893736,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
KLHL17,non-IEG,mean_siCPEB4_DMSO,7.520940034839329,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
C1orf159,non-IEG,mean_siCPEB4_DMSO,5.753051197915974,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
B3GALT6,non-IEG,mean_siCPEB4_DMSO,7.114256734106445,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
UBE2J2,non-IEG,mean_siCPEB4_DMSO,6.9803210059667045,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
PUSL1,non-IEG,mean_siCPEB4_DMSO,12.190401274723001,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
CPTP,non-IEG,mean_siCPEB4_DMSO,5.254316036858651,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
CCNL2,non-IEG,mean_siCPEB4_DMSO,5.417765112612625,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
AL391244.1,non-IEG,mean_siCPEB4_DMSO,4.509878946781285,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
SSU72,non-IEG,mean_siCPEB4_DMSO,15.020302023956951,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
SLC35E2B,non-IEG,mean_siCPEB4_DMSO,5.74969113924545,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
NADK,non-IEG,mean_siCPEB4_DMSO,11.482273785255149,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
SKI,non-IEG,mean_siCPEB4_DMSO,9.326252690502436,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
MORN1,non-IEG,mean_siCPEB4_DMSO,9.23333916392704,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
RER1,non-IEG,mean_siCPEB4_DMSO,14.110008412944701,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
PANK4,non-IEG,mean_siCPEB4_DMSO,8.853978636057205,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
ARHGEF16,non-IEG,mean_siCPEB4_DMSO,9.777337444548166,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
WRAP73,non-IEG,mean_siCPEB4_DMSO,11.048523757716296,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
TP73,non-IEG,mean_siCPEB4_DMSO,5.170211354300815,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
LRRC47,non-IEG,mean_siCPEB4_DMSO,10.16802598209299,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
DFFB,non-IEG,mean_siCPEB4_DMSO,5.903819358382931,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
C1orf174,non-IEG,mean_siCPEB4_DMSO,8.319777309835045,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
NPHP4,non-IEG,mean_siCPEB4_DMSO,10.77065634195375,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
KCNAB2,non-IEG,mean_siCPEB4_DMSO,14.6192051883459,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
HES2,non-IEG,mean_siCPEB4_DMSO,5.192888241206225,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
NOL9,non-IEG,mean_siCPEB4_DMSO,10.476295373050501,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
ZBTB48,non-IEG,mean_siCPEB4_DMSO,4.05113997340538,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
KLHL21,IEG,mean_siCPEB4_DMSO,3.99726868688162,DMSO,siCPEB4,DMSO_IEG_siCPEB4
PHF13,non-IEG,mean_siCPEB4_DMSO,2.4959841100425297,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
THAP3,non-IEG,mean_siCPEB4_DMSO,4.05042490767614,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
Y_RNA,non-IEG,mean_siCPEB4_DMSO,5.64300584024487,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
ERRFI1,IEG,mean_siCPEB4_DMSO,12.498923321052299,DMSO,siCPEB4,DMSO_IEG_siCPEB4
RERE,non-IEG,mean_siCPEB4_DMSO,9.685824557039314,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
GPR157,non-IEG,mean_siCPEB4_DMSO,6.038180686622789,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
H6PD,non-IEG,mean_siCPEB4_DMSO,10.23837459862809,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
SPSB1,non-IEG,mean_siCPEB4_DMSO,2.7566116443128603,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
SLC25A33,non-IEG,mean_siCPEB4_DMSO,9.992332202171536,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
TMEM201,non-IEG,mean_siCPEB4_DMSO,6.024591147296675,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
PIK3CD,non-IEG,mean_siCPEB4_DMSO,8.679432810782494,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
NMNAT1,non-IEG,mean_siCPEB4_DMSO,6.742235138137935,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
KIF1B,non-IEG,mean_siCPEB4_DMSO,9.007531352063111,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
PEX14,non-IEG,mean_siCPEB4_DMSO,7.178832171934775,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
CASZ1,non-IEG,mean_siCPEB4_DMSO,8.263664757438764,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
UBIAD1,non-IEG,mean_siCPEB4_DMSO,6.189494542787465,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
FBXO44,non-IEG,mean_siCPEB4_DMSO,18.21296064848845,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
CLCN6,non-IEG,mean_siCPEB4_DMSO,7.54353795623315,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
KIAA2013,non-IEG,mean_siCPEB4_DMSO,14.324321735757952,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
DHRS3,non-IEG,mean_siCPEB4_DMSO,10.365627015702554,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
PRDM2,non-IEG,mean_siCPEB4_DMSO,3.9670128349591653,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
TMEM51,non-IEG,mean_siCPEB4_DMSO,2.2323463543026447,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
EFHD2,non-IEG,mean_siCPEB4_DMSO,12.3326320726094,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
CASP9,non-IEG,mean_siCPEB4_DMSO,10.65522202890833,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
DNAJC16,non-IEG,mean_siCPEB4_DMSO,7.911390934189249,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
DDI2,non-IEG,mean_siCPEB4_DMSO,7.560218674101661,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
PLEKHM2,non-IEG,mean_siCPEB4_DMSO,11.54038142211035,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
SPEN,non-IEG,mean_siCPEB4_DMSO,5.92344204326276,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
ZBTB17,non-IEG,mean_siCPEB4_DMSO,9.121875687439019,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
EPHA2,IEG,mean_siCPEB4_DMSO,13.63193293953505,DMSO,siCPEB4,DMSO_IEG_siCPEB4
ARHGEF19,non-IEG,mean_siCPEB4_DMSO,7.52240961496776,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
RSG1,non-IEG,mean_siCPEB4_DMSO,10.495359176469625,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
FBXO42,non-IEG,mean_siCPEB4_DMSO,3.97411734073556,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
NECAP2,non-IEG,mean_siCPEB4_DMSO,13.2039431888774,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
LINC01772,non-IEG,mean_siCPEB4_DMSO,4.83186681284756,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
NBPF1,non-IEG,mean_siCPEB4_DMSO,3.43316769347289,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
RCC2,non-IEG,mean_siCPEB4_DMSO,16.70919564574075,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
ARHGEF10L,non-IEG,mean_siCPEB4_DMSO,5.2619235616260696,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
IFFO2,non-IEG,mean_siCPEB4_DMSO,3.568611214749295,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
MRTO4,non-IEG,mean_siCPEB4_DMSO,10.418114396605676,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
PQLC2,non-IEG,mean_siCPEB4_DMSO,4.91432392296097,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
TMCO4,non-IEG,mean_siCPEB4_DMSO,9.995633829299035,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
OTUD3,non-IEG,mean_siCPEB4_DMSO,6.017678010415031,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
MUL1,non-IEG,mean_siCPEB4_DMSO,3.216942162275575,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
SH2D5,non-IEG,mean_siCPEB4_DMSO,7.024306156809475,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
ECE1,non-IEG,mean_siCPEB4_DMSO,13.11847178900955,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
ZBTB40,non-IEG,mean_siCPEB4_DMSO,5.76581762953655,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
LUZP1,non-IEG,mean_siCPEB4_DMSO,3.693807021361475,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
HTR1D,non-IEG,mean_siCPEB4_DMSO,8.61951965513713,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
ZNF436,non-IEG,mean_siCPEB4_DMSO,2.855475572090695,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
E2F2,non-IEG,mean_siCPEB4_DMSO,4.924515259707039,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
ID3,IEG,mean_siCPEB4_DMSO,2.59691210941955,DMSO,siCPEB4,DMSO_IEG_siCPEB4
ELOA,non-IEG,mean_siCPEB4_DMSO,8.683427149158955,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
LYPLA2,non-IEG,mean_siCPEB4_DMSO,18.8430695955838,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
PNRC2,non-IEG,mean_siCPEB4_DMSO,9.44786764666441,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
RUNX3,non-IEG,mean_siCPEB4_DMSO,11.07641100550476,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
SYF2,non-IEG,mean_siCPEB4_DMSO,10.302536297292674,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
TMEM57,non-IEG,mean_siCPEB4_DMSO,8.728445889682485,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
LDLRAP1,non-IEG,mean_siCPEB4_DMSO,10.6825070772983,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
AUNIP,non-IEG,mean_siCPEB4_DMSO,4.30349702067242,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
PAQR7,non-IEG,mean_siCPEB4_DMSO,8.76389589563426,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
PDIK1L,non-IEG,mean_siCPEB4_DMSO,5.275434533795205,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
ZNF593,non-IEG,mean_siCPEB4_DMSO,9.70111693935375,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
CEP85,non-IEG,mean_siCPEB4_DMSO,10.6731580065111,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
DHDDS,non-IEG,mean_siCPEB4_DMSO,11.5915952622207,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
ARID1A,non-IEG,mean_siCPEB4_DMSO,4.31608858943362,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
PIGV,non-IEG,mean_siCPEB4_DMSO,9.37196575445677,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
SFN,non-IEG,mean_siCPEB4_DMSO,10.8755318355743,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
GPN2,non-IEG,mean_siCPEB4_DMSO,6.580230704931955,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
GPATCH3,non-IEG,mean_siCPEB4_DMSO,3.8419168430246398,DMSO,siCPEB4,DMSO_non-IEG_siCPEB4
